question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,ka,difficulty_label,difficulty_b,discrimination,guess_rate,slip_rate,primary_concept,secondary_concepts,babok_reference,perspectives,competencies
"In the BI Perspective, the BA often needs to ensure information is consistently defined and used across the organization. This effort supports the establishment of a 'single point of truth' and primarily involves producing which artifacts?",Source Logical Data Model and Data Dictionary.,Solution Architecture Diagram.,Process Flowcharts.,User Stories and Acceptance Criteria.,A,BI outcomes include standardized definitions via Data Model and Data Dictionary.,Business Intelligence Perspective,Medium,-2.75,0.75,0.25,0.01,bi,data-dictionary,11.2,bi,analytical;
A demand-driven approach in Business Intelligence assumes which starting point for solution development?,Phasing implementation based on the availability of source data systems.,Mapping existing systems data to define what data is currently available.,"Identifying the information output needed to support business decisions, then tracing back to sources.",Focusing only on unstructured data sources for competitive advantage.,C,Demand-driven starts with identifying output needed for decisions and tracing back.,Business Intelligence Perspective,Medium,0.05,1.2,0.25,0.04,demand-driven,bi,11.2,bi,analytical;
A BI BA is tasked with defining Transformation Rules (8.5). What is the primary purpose of these rules in the BI context?,"To map source and target data elements, specifying requirements for decoding, correction, and enrichment.",To define how the new solution will interact with the customer interface.,To prioritize the backlog items based on complexity.,To set the performance measures for the BI reporting layer.,A,Transformation rules map source and target data elements for correction and enrichment.,Business Intelligence Perspective,Easy,0.38,1.3,0.25,0.05,transformation-rules,bi,11.2,bi,analytical;
"In the Business Architecture (BA-Arch) Perspective, the principle of 'Separation of Concerns' implies that the business architecture must specifically separate what the business does from:",Its underlying IT infrastructure.,How the business is performed.,The organizational structure and who performs the functions.,All of the above.,D,"BA-Arch separates what is done from how, who, when, and how well it is done.",Business Architecture Perspective,Medium,-1.88,0.9,0.25,0.02,separation-of-concerns,ba-arch,11.4,ba-arch,analytical;
A Business Architect is developing a Capability Map (a technique). The purpose of this map is to:,Model the flow of data through the enterprise systems.,"Provide a hierarchical catalogue of what the business does, independent of organizational structure.",Trace individual process steps to their implementing technology.,Define the tactical implementation roadmap for the next two quarters.,B,A Capability Map is a hierarchical catalogue of what the business does.,Business Architecture Perspective,Easy,0.62,1.45,0.25,0.07,capability-map,ba-arch,11.4,ba-arch,analytical;
A key value delivered by Business Architecture models (blueprints) is:,Minimizing the need for project managers on strategic initiatives.,Facilitating coordination across the organization by aligning action with vision and strategy.,Eliminating all non-functional requirements from the project scope.,"Providing detailed, low-level specifications for software coding.",B,Business Architecture facilitates coordination by aligning action with strategy.,Business Architecture Perspective,Medium,-1.45,0.95,0.25,0.03,ba-arch,alignment,11.4,ba-arch,analytical;
"When performing Strategy Analysis (6.1/6.2) in a BA-Arch context, the focus of analyzing the current state should be on:",Individual system defects and performance degradation.,"High-level enterprise components such as value streams, capabilities, and organizational structure.",The detailed functional requirements of the legacy system.,The performance of a single business process.,B,"BA-Arch operates at the enterprise level, focusing on capabilities and value streams.",Business Architecture Perspective,Medium,0.24,1.35,0.22,0.05,ba-arch,enterprise-scope,11.4,ba-arch,analytical;
"The Business Architect, working in the Requirements Analysis and Design Definition KA, synthesizes knowledge from multiple architectural views (e.g., capability, value, information) to determine if proposed changes:",Are technically feasible within the current IT architecture.,Work towards or conflict with the organization's goals.,Can be completed within the current fiscal budget.,Have already been formally approved by the Project Manager.,B,Architects synthesize views to determine if changes align or conflict with strategy.,Business Architecture Perspective,Medium,0.46,1.4,0.22,0.06,ba-arch,strategic-alignment,11.4,ba-arch,analytical;
The primary focus of Business Process Management (BPM) initiatives is:,How the organization performs work to deliver value across multiple functional areas to customers and stakeholders.,The selection and implementation of commercial off-the-shelf software.,The compliance with external regulatory standards only.,Automating all manual tasks within a single department.,A,BPM focuses on delivering value across functional areas via a process lens.,Business Process Management Perspective,Easy,2.62,2.15,0.25,0.15,bpm,purpose,11.5,bpm,analytical;
A BA leading a BPM initiative uses the execution and monitoring phase of the BPM life cycle. What unique value does this phase provide for requirements analysis and design improvement?,Objective data collected from the actual execution of processes is used to justify process redesign.,Simulation of theoretical models minimizes the risk of implementation failure.,Requirements are formally documented in BPMN notation for developer hand-off.,It establishes the foundational business case for the entire initiative.,A,Execution provides objective data used to modify models and designs for optimization.,Business Process Management Perspective,Medium,-0.12,1.2,0.25,0.05,bpm,execution-monitoring,11.5,bpm,analytical;
Which stakeholder is considered the key decision maker and holds responsibility/authority for approving any changes to the affected processes in a BPM initiative?,The Project Manager.,The Regulator.,The Process Owner.,The End User.,C,The Process Owner is responsible for the process and final decisions regarding changes.,Business Process Management Perspective,Easy,-0.45,1.15,0.25,0.04,process-owner,stakeholders,11.5,bpm,interaction;
A BA conducting process analysis uses Value Stream Mapping (VSM). This technique is primarily used to identify:,Data flows and data stores within the process boundary.,Value-adding and non-value-adding (waste) elements across the end-to-end process.,The optimal technology platform for process automation.,All functional requirements for the required IT system.,B,VSM depicts both value-adding and non-value-adding elements in a product stream.,Business Process Management Perspective,Medium,0.78,1.45,0.22,0.07,vsm,waste-identification,10.34,bpm,analytical;
A BA identifies a set of business rules that dictate customer eligibility for a discount. These rules should be mapped to the process through which mechanism?,They should be embedded as steps within the process flowchart.,They should be modelled independently and mapped to the business decision they influence within the process.,They should be documented as Non-Functional Requirements.,They should be governed by the Project Manager's change control process.,B,Decisions should be modelled independently and mapped to the processes they influence.,Business Process Management Perspective,Medium,-2.15,0.85,0.25,0.01,business-rules,decision-modelling,10.9,bpm,analytical;
The BA must establish explicit agreement on the minimal set of conditions a new solution must meet to be worth implementation. This describes the use of which technique?,Metrics and Key Performance Indicators (KPIs).,Acceptance Criteria.,Requirements Traceability.,Estimation.,B,Acceptance criteria define requirements or conditions that must be met for acceptance.,Requirements Analysis and Design Definition,Easy,0.35,1.25,0.25,0.05,acceptance-criteria,definition,10.1,,interaction;
A BA is drafting Acceptance Criteria for a user story (7.1). The criteria must be expressed in a testable form and presented as statements that can be verified as true or false. This preparation often involves:,Ensuring the requirement is at the highest level of abstraction.,Decomposing the requirement into atomic statements.,Obtaining financial forecasts from the sponsor.,Ignoring non-functional concerns.,B,Testability often requires breaking requirements down into an atomicPass/Fail form.,Requirements Analysis and Design Definition,Medium,0.56,1.45,0.22,0.07,acceptance-criteria,atomic,10.1,,analytical;
The primary advantage of using the Acceptance and Evaluation Criteria technique is:,It prevents all future changes to requirements.,It allows for the objective and consistent assessment of solutions and alternative designs.,It replaces the need for continuous stakeholder collaboration.,It transfers risk entirely to the implementation team.,B,Measurable criteria allow for the objective assessment of solutions.,Requirements Analysis and Design Definition,Easy,-0.08,1.2,0.25,0.04,acceptance-criteria,benefit,10.1,,analytical;
A BA uses a Balance Scorecard (a technique) during Define Future State (6.2). The primary benefit of this tool is:,Its focus solely on optimizing the IT infrastructure.,Its focus on optimizing only the financial and customer dimensions.,"Its outcome focus, providing a balanced view of the enterprise by integrating objectives and measures across four dimensions.",Its ability to eliminate all organizational risk.,C,"Balanced scorecards integrate objectives across Learning, Process, Customer, and Financial.",Strategy Analysis,Medium,0.44,1.35,0.22,0.06,balanced-scorecard,purpose,10.3,,analytical;
"When performing Backlog Management (a technique), items near the top of the backlog typically require more attention than items near the bottom because:",Items near the top usually have the highest business value and priority and are elaborated in more detail.,Items near the bottom are always deleted from the project scope.,Items near the top require less effort to estimate.,Items near the top are typically non-functional requirements.,A,Top items have highest value/priority and are elaborated in more detail.,Requirements Life Cycle Management,Medium,-1.72,0.9,0.25,0.02,backlog-management,prioritization,10.2,,analytical;
"A growing backlog over several iterations, despite steady team velocity, is an indicator that requires investigation using root cause analysis. This situation typically suggests:",An increase in demand or a drop in productivity.,An increase in requirements quality due to thorough elicitation.,A necessary shift to a predictive methodology.,A definitive estimation of all remaining work items.,A,Growing backlogs indicate either increased demand or a drop in productivity.,Requirements Life Cycle Management,Medium,2.05,1.9,0.25,0.12,backlog-management,metrics,10.2,,analytical;
The primary input used to justify the pursuit of a new initiative based on predicted benefits versus costs is contained within the:,Business Analysis Approach.,Business Case.,Requirements Architecture.,Solution Recommendation.,B,The Business Case justifies action based on benefits versus cost.,Strategy Analysis,Easy,-2.25,0.85,0.25,0.01,business-case,justification,10.7,,analytical;
"When structuring a Business Case (a technique), the 'Desired Outcomes' element should primarily focus on:",The exact process flow of the recommended solution.,Measurable outcomes independent of the recommended solution.,The resumes and experience of the implementation team.,The technical specifications of the current state.,B,Desired outcomes should include measurable results independent of the solution.,Strategy Analysis,Medium,0.48,1.4,0.2,0.06,business-case,desired-outcomes,10.7,,analytical;
"A BA utilizes Interviews (a technique) to gather information from a stakeholder. To maximize the clarity and completeness of the elicited information, the BA should primarily:",Use only open-ended questions to allow the stakeholder free rein.,Send the interview questions to the stakeholder immediately after the interview.,"Organize the questions based on priority and subject, and use active listening to confirm understanding.",Avoid taking notes to maintain full attention on the interviewee.,C,Interviews require structured questions and active listening to confirm understanding.,Elicitation and Collaboration,Medium,-0.25,1.15,0.25,0.04,interviews,active-listening,10.25,,communication;
A BA is documenting a stakeholder’s needs for a new regulatory system. The stakeholder is highly technical and prefers precision. Which interview question type should the BA prioritize to elicit precise confirmation of specific data points?,Open-ended questions.,Probing questions.,Closed questions.,Hypothetical questions.,C,"Closed questions elicit a single specific response, effective for confirmation.",Elicitation and Collaboration,Medium,-1.38,0.95,0.25,0.03,interviews,closed-questions,10.25,,communication;
A Business Analyst uses Prototyping (a technique) specifically in the exploratory or 'throw-away' mode. The main goal of this approach is:,"To produce the final, maintainable user interface code.","To uncover and clarify requirements, particularly where functionality is unclear or views conflict, without creating a permanent asset.",To perform in-depth performance testing of the solution architecture.,To formally document all non-functional requirements.,B,Throw-away prototypes clarify requirements where functionality is unclear.,Requirements Analysis and Design Definition,Medium,0.32,1.25,0.25,0.05,prototyping,throw-away,10.36,,analytical;
"During a Workshop (a technique), the facilitator must establish ground rules at the beginning. Which rule is most critical for ensuring a productive environment that focuses on objectives rather than personal attacks?",Only the facilitator may speak when holding the marker.,Discussion that is off-topic should be limited to a specific set time.,Everyone is expected to contribute to the discussion.,"Discuss the issues, not the people.",D,"Ground rules like 'discussing the issues, not people' are essential for conflict resolution.",Elicitation and Collaboration,Medium,0.1,1.25,0.25,0.05,workshops,facilitation,10.5,,interaction;
The primary deliverable produced during a Workshop (a technique) is expected to be:,A validated set of approved requirements.,A formally signed contract with the implementation vendor.,A definition of the political context and stakeholder attitudes.,"A defined goal and a related work product (e.g., a process model, prioritized backlog).",D,Workshops collaborate to achieve a defined goal and related work product.,Elicitation and Collaboration,Easy,-2.45,0.85,0.25,0.01,workshops,outputs,10.5,,interaction;
A Business Analyst initiates the Plan Stakeholder Engagement task (3.2). The initial list of stakeholders is created. Which subsequent activity is mandatory to ensure effective communication and collaboration can be defined?,Developing a full wireframe prototype of the solution.,Conducting a preliminary Financial Analysis of the proposed solution.,"Analyzing the stakeholders' characteristics, attitudes, impact, and influence.",Defining all business rules and policies upfront.,C,Stakeholder analysis involves analyzing characteristics and influence to define approach.,Business Analysis Planning and Monitoring,Medium,0.52,1.4,0.22,0.06,stakeholder-analysis,engagement-planning,3.2.4.1,,analytical;
"In using the SWOT Analysis technique, a BA identifies that 'Competitor A launched a superior, cheaper product last month.' This is categorized as which type of external factor?",Strength.,Weakness.,Opportunity.,Threat.,D,Threats are external factors that can negatively affect the assessed group.,Strategy Analysis,Easy,-0.32,1.15,0.25,0.04,swot-analysis,threat,10.46,,analytical;
